iso2c,iso3c,country,year,gdp_percap,life_expect,population,birth_rate,neonat_mortal_rate,region,income
AD,AND,Andorra,1996,,,64291,10.9,2.8,Europe & Central Asia,High income
AD,AND,Andorra,1994,,,62707,10.9,3.2,Europe & Central Asia,High income
AD,AND,Andorra,2003,,,74783,10.3,2,Europe & Central Asia,High income
AD,AND,Andorra,1990,,,54511,11.9,4.3,Europe & Central Asia,High income
AD,AND,Andorra,2009,,,85474,9.9,1.7,Europe & Central Asia,High income
AD,AND,Andorra,2011,,,82326,,1.6,Europe & Central Asia,High income
AD,AND,Andorra,2004,,,78337,10.9,2,Europe & Central Asia,High income
AD,AND,Andorra,2010,,,84419,9.8,1.7,Europe & Central Asia,High income
AD,AND,Andorra,2001,,,67770,11.8,2.1,Europe & Central Asia,High income
AD,AND,Andorra,2002,,,71046,11.2,2.1,Europe & Central Asia,High income
AD,AND,Andorra,1997,,,64147,11.2,2.6,Europe & Central Asia,High income
AD,AND,Andorra,1993,,,61003,11.4,3.4,Europe & Central Asia,High income
AD,AND,Andorra,2008,,,85616,10.4,1.8,Europe & Central Asia,High income
AD,AND,Andorra,1999,,,64161,12.6,2.3,Europe & Central Asia,High income
AD,AND,Andorra,2014,,,72786,,1.5,Europe & Central Asia,High income
AD,AND,Andorra,2005,,,81223,10.7,1.9,Europe & Central Asia,High income
AD,AND,Andorra,2012,,,79316,9.5,1.6,Europe & Central Asia,High income
AD,AND,Andorra,2013,,,75902,,1.5,Europe & Central Asia,High income
AD,AND,Andorra,1992,,,58904,12.1,3.7,Europe & Central Asia,High income
AD,AND,Andorra,1995,,,63854,11,3,Europe & Central Asia,High income
AD,AND,Andorra,1998,,,63888,11.9,2.4,Europe & Central Asia,High income
AD,AND,Andorra,1991,,,56674,11.9,4,Europe & Central Asia,High income
AD,AND,Andorra,2006,,,83373,10.6,1.9,Europe & Central Asia,High income
AD,AND,Andorra,2007,,,84878,10.1,1.8,Europe & Central Asia,High income
AD,AND,Andorra,2000,,,65399,11.3,2.2,Europe & Central Asia,High income
AE,ARE,United Arab Emirates,1991,73036.9966064691,72.0122926829268,1913190,24.649,7.9,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,1993,71959.8778674344,72.5730243902439,2127863,22.36,7.3,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2001,83533.5552161428,74.7128780487805,3217865,15.829,5.5,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,1992,73154.2777414922,72.2964146341463,2019014,23.501,7.6,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,1994,74683.8885943879,72.8455853658537,2238281,21.263,6.9,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2007,75426.793513296,76.1111707317073,6010100,12.814,4.7,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2004,87843.7081074576,75.4572682926829,3975945,14.24,5.1,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,1996,79480.4674789064,73.3839268292683,2467726,19.309,6.4,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2006,82754.2819759593,75.9045365853659,5171255,13.255,4.9,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2000,84974.8940914508,74.4515365853659,3050128,16.399,5.6,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,1999,79262.3864517508,74.1871707317073,2884188,17.018,5.8,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,1990,74017.3006503727,71.7201463414634,1811458,25.768,8.2,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,1997,83165.2631465984,73.6526585365854,2595220,18.466,6.2,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2005,84338.3594071577,75.6863902439025,4481976,13.735,5,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,1998,80040.2167031434,73.9202195121951,2733770,17.703,6,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2008,69124.39621148,76.307756097561,6900142,12.423,4.6,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2012,61172.9947875255,77.0241463414634,8952542,11.273,4,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2011,57594.1266833257,76.8511951219512,8734722,11.514,4.1,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2009,59100.3805379711,76.4947804878049,7705423,12.079,4.5,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,1995,77467.2448447408,73.1150731707317,2350192,20.239,6.6,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2002,82369.6850171255,74.9682682926829,3394060,15.287,5.4,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2014,67921.3994644049,77.3681707317073,9086139,10.819,3.6,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2013,64229.4649857771,77.1956341463415,9039978,11.044,3.8,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2003,85563.6364172279,75.2172195121951,3625798,14.759,5.2,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2010,56245.4781588414,76.675243902439,8329453,11.778,4.3,Middle East & North Africa,High income
AF,AFG,Afghanistan,2009,1525.51705383899,58.6036829268293,27207291,40.265,39.1,South Asia,Low income
AF,AFG,Afghanistan,2011,1712.58871978343,59.3279512195122,28809167,37.636,38.1,South Asia,Low income
AF,AFG,Afghanistan,1996,,53.6020487804878,17481800,49.039,47.5,South Asia,Low income
AF,AFG,Afghanistan,1993,,52.0218780487805,14824371,48.839,49.9,South Asia,Low income
AF,AFG,Afghanistan,1994,,52.6143414634146,15869967,48.898,49.1,South Asia,Low income
AF,AFG,Afghanistan,1991,,50.6409756097561,12789374,48.896,51.9,South Asia,Low income
AF,AFG,Afghanistan,2002,895.599148808249,55.8571951219512,21487079,47.23,43.9,South Asia,Low income
AF,AFG,Afghanistan,2012,1934.28563418865,59.6796097560976,29726803,36.396,37.4,South Asia,Low income
AF,AFG,Afghanistan,2005,1039.40824176659,57.027243902439,24399948,44.887,41.7,South Asia,Low income
AF,AFG,Afghanistan,2010,1629.16729020532,58.9708292682927,27962207,38.94,38.7,South Asia,Low income
AF,AFG,Afghanistan,2006,1095.65562841162,57.4325609756098,25183615,43.893,41,South Asia,Low income
AF,AFG,Afghanistan,2004,940.476298982224,56.6263170731707,23499850,45.761,42.5,South Asia,Low income
AF,AFG,Afghanistan,1992,,51.3629268292683,13745630,48.834,50.9,South Asia,Low income
AF,AFG,Afghanistan,1997,,54.0178292682927,18034130,49.036,47,South Asia,Low income
AF,AFG,Afghanistan,1995,,53.1393902439024,16772522,48.978,48.2,South Asia,Low income
AF,AFG,Afghanistan,2014,1939.95412493159,60.3744634146342,31627506,34.225,36.1,South Asia,Low income
AF,AFG,Afghanistan,2003,945.686929858971,56.2352926829268,22507368,46.538,43.2,South Asia,Low income
AF,AFG,Afghanistan,2001,,55.4875365853659,20531160,47.835,44.5,South Asia,Low income
AF,AFG,Afghanistan,2000,,55.1258780487805,19701940,48.332,45.2,South Asia,Low income
AF,AFG,Afghanistan,1990,,49.8610487804878,12067570,49.029,52.8,South Asia,Low income
AF,AFG,Afghanistan,2007,1245.05922295101,57.8338292682927,25877544,42.779,40.4,South Asia,Low income
AF,AFG,Afghanistan,2008,1283.04098567395,58.2250243902439,26528741,41.56,39.8,South Asia,Low income
AF,AFG,Afghanistan,1999,,54.7672682926829,19038420,48.699,45.6,South Asia,Low income
AF,AFG,Afghanistan,2013,1941.898322683,60.0282682926829,30682500,35.253,36.8,South Asia,Low income
AF,AFG,Afghanistan,1998,,54.4027317073171,18511480,48.93,46.1,South Asia,Low income
AG,ATG,Antigua and Barbuda,1997,13732.7668301844,72.7575609756098,72232,20.251,10.7,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,1991,11594.5750617968,71.4005853658537,62412,18.879,14.1,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,1992,11766.78311059,71.6347073170732,63434,19.047,13.5,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2011,19987.9241389288,75.4660243902439,88152,16.763,5.8,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,1996,13236.8707325167,72.5388536585366,70245,20.064,11.2,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2000,15312.5664983907,73.3972926829268,77648,20.24,9.4,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,1998,14108.1120666511,72.9737804878049,74206,20.352,10.3,Latin America & Caribbean,Upper middle income
